country,continent,population,day,time,Cases,Recovered,Deaths,Tests
Saint-Helena,Africa,6115.0,2024-06-30,2024-06-30T16:15:16+00:00,2166,2.0,,
Falkland-Islands,South-America,3539.0,2024-06-30,2024-06-30T16:15:16+00:00,1930,1930.0,,8632.0
Montserrat,North-America,4965.0,2024-06-30,2024-06-30T16:15:16+00:00,1403,1376.0,8.0,17762.0
Diamond-Princess,,,2024-06-30,2024-06-30T16:15:16+00:00,712,699.0,13.0,
Vatican-City,Europe,799.0,2024-06-30,2024-06-30T16:15:16+00:00,29,29.0,,
Western-Sahara,Africa,626161.0,2024-06-30,2024-06-30T16:15:16+00:00,10,9.0,1.0,
MS-Zaandam,,,2024-06-30,2024-06-30T16:15:16+00:00,9,7.0,2.0,
China,Asia,1448471400.0,2024-06-30,2024-06-30T16:15:16+00:00,503302,379053.0,5272.0,160000000.0
Tokelau,Oceania,1378.0,2024-06-30,2024-06-30T16:15:16+00:00,80,,,
Saint-Pierre-Miquelon,North-America,5759.0,2024-06-30,2024-06-30T16:15:16+00:00,3452,2449.0,2.0,25400.0
Tuvalu,Oceania,12066.0,2024-06-30,2024-06-30T16:15:16+00:00,2943,,1.0,
Niue,Oceania,1622.0,2024-06-30,2024-06-30T16:15:16+00:00,1059,1056.0,,
Nicaragua,North-America,6779100.0,2024-06-30,2024-06-30T16:15:15+00:00,18491,4225.0,225.0,
Tajikistan,Asia,9957464.0,2024-06-30,2024-06-30T16:15:15+00:00,17786,17264.0,125.0,
Djibouti,Africa,1016097.0,2024-06-30,2024-06-30T16:15:15+00:00,15690,15427.0,189.0,305941.0
Greenland,North-America,56973.0,2024-06-30,2024-06-30T16:15:15+00:00,11971,2761.0,21.0,164926.0
Eritrea,Africa,3662244.0,2024-06-30,2024-06-30T16:15:15+00:00,10189,10086.0,103.0,23693.0
Niger,Africa,26083660.0,2024-06-30,2024-06-30T16:15:15+00:00,9931,8890.0,312.0,254538.0
Equatorial-Guinea,Africa,1496662.0,2024-06-30,2024-06-30T16:15:15+00:00,17229,16907.0,183.0,365697.0
Liberia,Africa,5305117.0,2024-06-30,2024-06-30T16:15:15+00:00,8090,7783.0,295.0,139824.0
Nauru,Oceania,10903.0,2024-06-30,2024-06-30T16:15:15+00:00,5393,5347.0,1.0,20509.0
Caribbean-Netherlands,North-America,26647.0,2024-06-30,2024-06-30T16:15:15+00:00,11682,10476.0,38.0,30126.0
Bermuda,North-America,61939.0,2024-06-30,2024-06-30T16:15:15+00:00,18860,18685.0,165.0,1029558.0
Gambia,Africa,2558482.0,2024-06-30,2024-06-30T16:15:15+00:00,12626,12189.0,372.0,155686.0
Grenada,North-America,113475.0,2024-06-30,2024-06-30T16:15:15+00:00,19693,19358.0,238.0,182981.0
Comoros,Africa,907419.0,2024-06-30,2024-06-30T16:15:15+00:00,9109,8939.0,161.0,
Guinea-Bissau,Africa,2063367.0,2024-06-30,2024-06-30T16:15:15+00:00,9614,8929.0,177.0,145231.0
Chad,Africa,17413580.0,2024-06-30,2024-06-30T16:15:15+00:00,7701,4874.0,194.0,191341.0
Vanuatu,Oceania,321832.0,2024-06-30,2024-06-30T16:15:15+00:00,12019,11976.0,14.0,24976.0
Sint-Maarten,North-America,43966.0,2024-06-30,2024-06-30T16:15:15+00:00,11051,10905.0,92.0,62056.0
Wallis-and-Futuna,Oceania,10982.0,2024-06-30,2024-06-30T16:15:15+00:00,3550,438.0,8.0,20508.0
St-Barth,North-America,9945.0,2024-06-30,2024-06-30T16:15:15+00:00,5507,,6.0,78646.0
Saint-Kitts-and-Nevis,North-America,53871.0,2024-06-30,2024-06-30T16:15:15+00:00,6607,6559.0,48.0,126958.0
Timor-Leste,Asia,1369429.0,2024-06-30,2024-06-30T16:15:15+00:00,23460,23102.0,138.0,278529.0
Kiribati,Oceania,123419.0,2024-06-30,2024-06-30T16:15:15+00:00,5085,2703.0,24.0,
Burkina-Faso,Africa,22102838.0,2024-06-30,2024-06-30T16:15:15+00:00,22114,21596.0,400.0,248995.0
Liechtenstein,Europe,38387.0,2024-06-30,2024-06-30T16:15:15+00:00,21574,,94.0,112457.0
Gibraltar,Europe,33704.0,2024-06-30,2024-06-30T16:15:15+00:00,20550,,113.0,534283.0
South-Sudan,Africa,11618511.0,2024-06-30,2024-06-30T16:15:15+00:00,18819,18115.0,147.0,410280.0
Monaco,Europe,39783.0,2024-06-30,2024-06-30T16:15:15+00:00,17181,,67.0,78646.0
Samoa,Oceania,202239.0,2024-06-30,2024-06-30T16:15:15+00:00,17006,1605.0,31.0,187397.0
Tonga,Oceania,107749.0,2024-06-30,2024-06-30T16:15:15+00:00,16950,15638.0,13.0,535009.0
Marshall-Islands,Oceania,60057.0,2024-06-30,2024-06-30T16:15:15+00:00,16138,16121.0,17.0,
Dominica,North-America,72344.0,2024-06-30,2024-06-30T16:15:15+00:00,16038,15964.0,74.0,229344.0
CAR,Africa,5016678.0,2024-06-30,2024-06-30T16:15:15+00:00,15440,15200.0,113.0,81294.0
Saint-Martin,North-America,39730.0,2024-06-30,2024-06-30T16:15:15+00:00,12324,,63.0,112382.0
Yemen,Asia,31154867.0,2024-06-30,2024-06-30T16:15:15+00:00,11945,9124.0,2159.0,329592.0
St-Vincent-Grenadines,North-America,111551.0,2024-06-30,2024-06-30T16:15:15+00:00,9674,9493.0,124.0,114197.0
Antigua-and-Barbuda,North-America,99509.0,2024-06-30,2024-06-30T16:15:15+00:00,9106,8954.0,146.0,18901.0
Sierra-Leone,Africa,8306436.0,2024-06-30,2024-06-30T16:15:15+00:00,7779,,126.0,259958.0
British-Virgin-Islands,North-America,30596.0,2024-06-30,2024-06-30T16:15:15+00:00,7392,,64.0,107339.0
Cook-Islands,Oceania,17571.0,2024-06-30,2024-06-30T16:15:15+00:00,7203,7150.0,2.0,19690.0
Sao-Tome-and-Principe,Africa,227679.0,2024-06-30,2024-06-30T16:15:15+00:00,6778,6685.0,80.0,29600.0
Turks-and-Caicos,North-America,39741.0,2024-06-30,2024-06-30T16:15:15+00:00,6752,6709.0,40.0,616788.0
Palau,Oceania,18233.0,2024-06-30,2024-06-30T16:15:15+00:00,6290,6276.0,10.0,71434.0
Anguilla,North-America,15230.0,2024-06-30,2024-06-30T16:15:15+00:00,3904,,12.0,51382.0
Cura&ccedil;ao,North-America,165529.0,2024-06-30,2024-06-30T16:15:14+00:00,45986,44720.0,295.0,496693.0
Isle-of-Man,Europe,85732.0,2024-06-30,2024-06-30T16:15:14+00:00,38008,,116.0,150753.0
